Txn Date,Description,Amount (INR),Type,Category
"Apr 26, 2026",Bharat Supplies PYMT REF4502,73562.96,CR,Utilties
"Aug 08, 2026",Kirti Enterprises PYMT REF8454,"(24,603.56)",CR,purchase
2026/05/25,Reliance Traders PYMT REF9883,"5,650.91",CR,sales
"Mar 12, 2026",Om Distributors PYMT REF9701,13803.07,CR,Sales
09-03-2026,Shree Hardware PYMT REF4853,"₹34,619.03",CR,salary
"Jul 19, 2026",Shree Hardware PYMT REF9565,"27,233.25",CR,Salary 
2026/05/20,Kirti Enterprises PYMT REF7484,"11,559.21",DR,utilities
21-07-2026,Bharat Supplies PYMT REF2638,"₹6,690.53",DR,SALES
11-05-2026,Sunrise Electricals PYMT REF7054,"(24,581.43)",DR,salary
22-02-2026,Shree Hardware PYMT REF5905,79233.39,CR,Purchase
10-07-2026,Shree Hardware PYMT REF3546,"₹23,513.42",DR,purchase
14/02/2026,Om Distributors PYMT REF9004,21719.75,CR,Salary 
22/04/2026,Reliance Traders PYMT REF1058,"₹28,685.53",DR,SALES
"Apr 17, 2026",Om Distributors PYMT REF1158,"₹9,953.34",CR,utilities
2026/03/12,Bharat Supplies PYMT REF3088,"4,034.54",CR,utilities
2026/06/16,Shree Hardware PYMT REF2684,"(30,385.84)",CR,purchase
2026/06/28,Bharat Supplies PYMT REF1406,"15,655.98",DR,
2026/02/18,Kirti Enterprises PYMT REF3608,67033.15,DR,sales
2026/04/10,Sunrise Electricals PYMT REF8541,"₹30,046.14",CR,sales
2026/02/21,Bharat Supplies PYMT REF6378,24041.96,DR,utilities
"Feb 25, 2026",Shree Hardware PYMT REF9785,28482.16,CR,Purchase
24/06/2026,Reliance Traders PYMT REF2776,"50,910.27",DR,Utilties
06-03-2026,Bharat Supplies PYMT REF4114,"(22,024.05)",CR,Rent
2026/03/24,Kirti Enterprises PYMT REF8066,"6,412.79",DR,Salary 
08/07/2026,Om Distributors PYMT REF6067,"56,852.45",DR,
2026/05/25,Sunrise Electricals PYMT REF7888,"(56,686.54)",CR,salary
16/03/2026,Bharat Supplies PYMT REF9977,"70,949.78",DR,purchase
20/04/2026,Bharat Supplies PYMT REF8238,"₹37,862.50",DR,
26-06-2026,Kirti Enterprises PYMT REF9445,"56,595.65",CR,
09/06/2026,Sunrise Electricals PYMT REF4262,12951.41,CR,rent
05-03-2026,Bharat Supplies PYMT REF7790,"₹75,378.57",DR,rent
2026/04/28,Sunrise Electricals PYMT REF1090,75929.76,DR,purchase
"Jun 24, 2026",Reliance Traders PYMT REF5082,78026.22,DR,SALES
12/04/2026,Metro Logistics PYMT REF8251,"(52,269.12)",DR,SALES
"Apr 09, 2026",Kirti Enterprises PYMT REF5050,"71,468.41",DR,Salary 
08/06/2026,Bharat Supplies PYMT REF2269,"₹60,794.54",DR,utilities
19-05-2026,Sunrise Electricals PYMT REF3471,"₹20,041.60",CR,Sales
"Apr 24, 2026",Kirti Enterprises PYMT REF9890,39870.6,CR,Utilties
01-05-2026,Metro Logistics PYMT REF7232,"40,804.79",DR,
"May 01, 2026",Om Distributors PYMT REF9947,"₹68,088.86",DR,purchase
"May 31, 2026",Bharat Supplies PYMT REF1475,"(33,358.43)",CR,rent
07-07-2026,Bharat Supplies PYMT REF1444,"(7,593.56)",CR,rent
23-06-2026,Kirti Enterprises PYMT REF7211,"(28,161.30)",DR,utilities
03/05/2026,Metro Logistics PYMT REF7906,21816.94,DR,sales
23-03-2026,Kirti Enterprises PYMT REF4673,55437.18,CR,purchase
18-06-2026,Om Distributors PYMT REF3496,"(20,657.05)",CR,salary
"Jun 14, 2026",Shree Hardware PYMT REF5198,"₹65,302.89",CR,
28/06/2026,Reliance Traders PYMT REF1420,"(78,990.97)",DR,
19-06-2026,Om Distributors PYMT REF4978,"9,110.66",CR,
17-03-2026,Kirti Enterprises PYMT REF9728,"36,697.94",CR,Rent
24/02/2026,Reliance Traders PYMT REF7882,69986.96,DR,utilities
"Feb 27, 2026",Shree Hardware PYMT REF3506,"37,298.66",DR,rent
19/04/2026,Kirti Enterprises PYMT REF5022,70696.77,DR,rent
"Jun 07, 2026",Om Distributors PYMT REF7209,"(28,925.51)",DR,SALES
2026/04/06,Kirti Enterprises PYMT REF5232,"29,258.63",CR,Rent
21-06-2026,Sunrise Electricals PYMT REF7658,"₹41,784.83",DR,Salary 
"Apr 05, 2026",Metro Logistics PYMT REF1282,"₹8,363.01",DR,
07/06/2026,Shree Hardware PYMT REF7046,"40,490.51",DR,
21/03/2026,Kirti Enterprises PYMT REF8434,"23,392.44",CR,Sales
20/06/2026,Reliance Traders PYMT REF9779,"₹80,849.15",CR,purchase
07/04/2026,Shree Hardware PYMT REF9595,50928.82,CR,Purchase
11/06/2026,Sunrise Electricals PYMT REF5952,"₹1,695.54",DR,sales
26/07/2026,Shree Hardware PYMT REF3068,"(54,399.99)",CR,sales
15/03/2026,Bharat Supplies PYMT REF8843,"₹37,719.61",CR,Purchase
08-04-2026,Metro Logistics PYMT REF2070,34359.78,CR,SALES
01/07/2026,Reliance Traders PYMT REF5066,"(10,509.16)",CR,
"Mar 28, 2026",Bharat Supplies PYMT REF8253,"(25,626.34)",DR,salary
03-03-2026,Om Distributors PYMT REF2625,"₹80,571.37",CR,Purchase
20-02-2026,Sunrise Electricals PYMT REF4929,15187.24,CR,sales
"Apr 26, 2026",Shree Hardware PYMT REF8699,"₹25,111.41",DR,
"May 28, 2026",Reliance Traders PYMT REF4824,"₹78,570.48",DR,Sales
2026/03/22,Shree Hardware PYMT REF3441,"₹77,260.77",CR,sales
27/06/2026,Om Distributors PYMT REF5728,"(37,608.47)",DR,
27/04/2026,Om Distributors PYMT REF9847,42225.7,CR,Utilties
18/05/2026,Reliance Traders PYMT REF2496,19844.11,DR,salary
2026/07/29,Bharat Supplies PYMT REF9502,"55,552.55",CR,salary
"Apr 19, 2026",Reliance Traders PYMT REF8700,"29,902.71",DR,Salary 
2026/07/13,Kirti Enterprises PYMT REF7744,"59,115.43",DR,
21-03-2026,Bharat Supplies PYMT REF2442,"27,076.70",CR,
27-04-2026,Shree Hardware PYMT REF9889,39537.0,CR,Rent
"May 08, 2026",Shree Hardware PYMT REF8242,"₹64,719.20",DR,Rent
06/07/2026,Bharat Supplies PYMT REF8941,"₹10,760.50",CR,Purchase
20-03-2026,Om Distributors PYMT REF7684,8376.18,DR,Sales
2026/02/24,Bharat Supplies PYMT REF5781,"43,499.69",DR,rent
2026/04/10,Bharat Supplies PYMT REF3369,"₹32,913.02",CR,Purchase
24/04/2026,Metro Logistics PYMT REF9318,23076.09,DR,
"May 24, 2026",Metro Logistics PYMT REF3434,"(38,233.25)",DR,utilities
"Mar 20, 2026",Bharat Supplies PYMT REF6272,"₹73,981.34",DR,purchase
2026/07/13,Kirti Enterprises PYMT REF7744,"59,115.43",DR,
03-03-2026,Om Distributors PYMT REF2625,"₹80,571.37",CR,Purchase
"Feb 25, 2026",Shree Hardware PYMT REF9785,28482.16,CR,Purchase
12/05/2026,Metro Logistics PYMT REF1711,62162.34,DR,Sales
11-05-2026,Sunrise Electricals PYMT REF7054,"(24,581.43)",DR,salary
15/03/2026,Bharat Supplies PYMT REF8843,"₹37,719.61",CR,Purchase
